identification_id,organism_id ,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_veritication_status,identification_remarks
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
,,,,,syntype,Fernando W. T. Leivas,https://orcid.org/0000-0002-7586-5645,2018-07-31,,Verified,the specimen is not published in the collection
