"1,121-dnasequences.dnasequence.text3","1,121-dnasequences.dnasequence.text2","1,121-dnasequences.dnasequence.moleculeType","1,121-dnasequences,5-sequencer.dnasequence.sequencer"
54869bf6-a0b5-11ed-803c-6c2b597b15e2,KM207619,Rag1,"Conway, Kevin W"
54869dab-a0b5-11ed-803c-6c2b597b15e2,KM207596,CO1,"Conway, Kevin W"
54869dfa-a0b5-11ed-803c-6c2b597b15e2,KM207640,cytb,"Conway, Kevin W"
54869e41-a0b5-11ed-803c-6c2b597b15e2,KM207618,Rag1,"Conway, Kevin W"
54869e8c-a0b5-11ed-803c-6c2b597b15e2,KM207617,Rag1,"Conway, Kevin W"
54869ed6-a0b5-11ed-803c-6c2b597b15e2,KM207594,CO1,"Conway, Kevin W"
54869f1d-a0b5-11ed-803c-6c2b597b15e2,KM207642,cytb,"Conway, Kevin W"
54869f70-a0b5-11ed-803c-6c2b597b15e2,KM207595,CO1,"Conway, Kevin W"
54869fc1-a0b5-11ed-803c-6c2b597b15e2,KM207641,cytb,"Conway, Kevin W"
5486a009-a0b5-11ed-803c-6c2b597b15e2,KM207620,Rag1,"Conway, Kevin W"
5486a051-a0b5-11ed-803c-6c2b597b15e2,KM207643,cytb,"Conway, Kevin W"
5486a09a-a0b5-11ed-803c-6c2b597b15e2,KM207597,CO1,"Conway, Kevin W"
5486a0ec-a0b5-11ed-803c-6c2b597b15e2,KM207623,Rag1,"Conway, Kevin W"
5486a13e-a0b5-11ed-803c-6c2b597b15e2,KM207646,cytb,"Conway, Kevin W"
5486a189-a0b5-11ed-803c-6c2b597b15e2,KM207647,cytb,"Conway, Kevin W"
5486a1d7-a0b5-11ed-803c-6c2b597b15e2,KM207601,CO1,"Conway, Kevin W"
5486a221-a0b5-11ed-803c-6c2b597b15e2,KM207624,Rag1,"Conway, Kevin W"
5486a26e-a0b5-11ed-803c-6c2b597b15e2,KM207600,CO1,"Conway, Kevin W"
5486a2ba-a0b5-11ed-803c-6c2b597b15e2,KM207602,CO1,"Conway, Kevin W"
5486a305-a0b5-11ed-803c-6c2b597b15e2,KM207648,cytb,"Conway, Kevin W"
5486a34e-a0b5-11ed-803c-6c2b597b15e2,KM207625,Rag1,"Conway, Kevin W"
5486a6bc-a0b5-11ed-803c-6c2b597b15e2,KM207652,cytb,"Conway, Kevin W"
5486a70d-a0b5-11ed-803c-6c2b597b15e2,KM207629,Rag1,"Conway, Kevin W"
5486a755-a0b5-11ed-803c-6c2b597b15e2,KM207606,CO1,"Conway, Kevin W"
5486a7a0-a0b5-11ed-803c-6c2b597b15e2,KM207658,cytb,"Conway, Kevin W"
5486a7eb-a0b5-11ed-803c-6c2b597b15e2,KM207612,CO1,"Conway, Kevin W"
5486a834-a0b5-11ed-803c-6c2b597b15e2,KM207634,Rag1,"Conway, Kevin W"
5486aa8a-a0b5-11ed-803c-6c2b597b15e2,KM207611,CO1,"Conway, Kevin W"
5486aad8-a0b5-11ed-803c-6c2b597b15e2,KM207657,cytb,"Conway, Kevin W"
5486ab23-a0b5-11ed-803c-6c2b597b15e2,KM207635,Rag1,"Conway, Kevin W"
5486ab68-a0b5-11ed-803c-6c2b597b15e2,KM207659,cytb,"Conway, Kevin W"
5486abe9-a0b5-11ed-803c-6c2b597b15e2,KM207636,Rag1,"Conway, Kevin W"
5486ae73-a0b5-11ed-803c-6c2b597b15e2,KM207613,CO1,"Conway, Kevin W"
5486aee6-a0b5-11ed-803c-6c2b597b15e2,KM207660,cytb,"Conway, Kevin W"
5486af54-a0b5-11ed-803c-6c2b597b15e2,KM207614,CO1,"Conway, Kevin W"
5486b169-a0b5-11ed-803c-6c2b597b15e2,KM207637,Rag1,"Conway, Kevin W"
5486b214-a0b5-11ed-803c-6c2b597b15e2,KM207638,Rag1,"Conway, Kevin W"
5486b489-a0b5-11ed-803c-6c2b597b15e2,KM207661,cytb,"Conway, Kevin W"
5486b4fc-a0b5-11ed-803c-6c2b597b15e2,KM207615,CO1,"Conway, Kevin W"
5486e8ce-a0b5-11ed-803c-6c2b597b15e2,U01326,cytb,"Schmidt, Timothy R"
548a0b20-a0b5-11ed-803c-6c2b597b15e2,KX139438,"mitochondrion, complete genome","Gaughan, Sarah"
548a4486-a0b5-11ed-803c-6c2b597b15e2,KX139437,"mitochondrion, complete genome","Gaughan, Sarah"
