digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language
a9ffc245-8f88-4b78-a4f4-c559f0b3e8f9,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp66887376876169050925.att.JPG,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
48fa49e9-f4f0-4b07-b352-53b53cf0e312,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp68765883263296776834.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
e12ffeec-fab3-4a2f-bb4b-ae3d9157cb63,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp65778381678626381754.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
a625c52f-5c4d-4c76-b73b-67216f108b4b,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63252340781777306430.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
d5d9694a-aa11-4acd-9f01-2e5726f62f5e,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp64137198528214166951.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
d07344da-8cf4-4366-99fd-50e6e512d628,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp61914476676351540870.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
f9ea1f62-93be-44b2-9d29-bdb74e4d5aa2,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp6166295542281825382.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
983d94e2-731b-4c86-93d9-a32d3dc15f5a,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp66156336130548101171.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
89d00cfb-e514-4761-96d1-eacdbf9ce122,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp62646625296900299532.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
3247ca2f-cf93-47d9-acab-d8160406fda9,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp65301066313795988946.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
