"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"a7e28025f028d21556d38b246324d0bd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","AGUASCALIENTES","COSIO","","El Carrizal","","","2100.0","","","","","Gacetero | INEGI, 2005","","",""
"a7e6ca914e466239fca07c5b58a18cf6","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","CHIQUILISTLAN","","El Rincón de Capula","","","1700.0","","","","","Gacetero | INEGI, 2005","","",""
"a7ec8520563dff447068f5802d627f0b","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","TEOPISCA","","Teopisca","","","1800.0","","","","","Gacetero | INEGI, 2005","","",""
"a7f2edb2d569e05f9b424e6635a036d4","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIHUAHUA","GOMEZ FARIAS","","Colonia Libertad","","","2100.0","","","","","Gacetero","","",""
"a7f5e2e6117a708377a6adb459fe1a0d","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MICHOACAN DE OCAMPO","TUXPAN","","Tuxpan, en el Ejido Tuxpan","","","1.0","","","","","Gacetero","","",""
"a7f72ce8ec2352c26e6161b185f920c0","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIHUAHUA","DELICIAS","","Delicias","","","1170.0","","","","","Gacetero | INEGI, 2005","","",""
"a7f749ba8a42ae740da7744cbea0c9db","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","HUIXTLA","","Aquiles Serdán","","","61.0","","","","","Gacetero | INEGI, 2005","","",""
"a7f9819d283000ba2d8a664734bf073f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","GUERRERO","PUNGARABATO","","Ciudad Altamirano","","","250.0","","","","","Gacetero | INEGI, 2005","","",""
"a7fb6aafed94ce8f29d285c8ab96c590","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sistema Tetzcotzinco"", ""tipo"":""Estatal"", ""distancia"":""0 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","TEXCOCO","","San Plablo Ixayoc","","","2700.0","","","","","Gacetero","","",""
"a8005ff80324880ee9df99639f401f8f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","SAN CRISTOBAL DE LAS CASAS","","Ejido Pedernal","","","2401.0","","","","","Gacetero | INEGI, 2005","","",""
"a8022b98c1f19a2faad3fc873ad0f9f2","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","VILLAFLORES","","Colonia 16 de septiembre","","","540.0","","","","","Gacetero | INEGI, 2005","","",""
"a804e92e80b8655fa8e6a416b49a0107","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CHALCHICOMULA DE SESMA","","La Gloria","","","2440.0","","","","","Gacetero | INEGI, 2005","","",""
"a806699402ef71542b33b9844b529c3a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Las Fuentes"", ""tipo"":""Municipal"", ""distancia"":""2.322 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","GUANAJUATO","SANTA CRUZ DE JUVENTINO ROSAS","","Juventino Rosas","","","1697.0","","","","","Gacetero | INEGI, 2005","","",""
"a80b84e88aaa7bcec881ad81884a0990","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","TEOPISCA","","Nuevo Leon","","","1090.0","","","","","Gacetero | INEGI, 2005","","",""
"a813e95c277a3c055d017c8e9b708a75","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN JOSE DEL PROGRESO","","San Jose del Progreso","","","1580.0","","","","","Gacetero | INEGI, 2005","","",""
"a8157fd294ceeaa8f36855a5b915a5bd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","LAS MARGARITAS","","Lomantan","","","1780.0","","","","","Gacetero | INEGI, 2005","","",""
"a81f37cdd014389e18473bb554abb739","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN JUAN COMALTEPEC","","Arroyo Camarón","760","","760.0","","","","","Gacetero | INEGI, 2005","","",""
"a81f8a813e8292425fbb8477fc404556","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","SAN MATIAS TLALANCALECA","","Coronado","","","2420.0","","","","","Gacetero | INEGI, 2005","","",""
