protocol_id	protocol_type
2d80bdfb62e68366c718c83cfaafb30bc77dd77d	Cantidad de días que la planta requiere a partir de la siembra para el aparecimiento del polen en la espiga. La recolección de germoplasma de los maíces criollos se realizó usando una modificación a la metodología propuesta por Hernández (1972), considerando la experiencia vivida en la recolección de maíces criollos en el 2006. Se recolectaron 50 mazorcas para cada una de las muestras de maíz ó 5 kg de semilla con cinco de sus mazorcas ó sus respectivos olotes (los cuales a veces es difícil obtener). Para la toma de datos agronómicos, debido a que las muestras de maíz no presentan el mismo error de muestreo (al escoger las mazorcas para semilla por el agricultor por tener diferentes criterios de selección ó mazorcas por el recolector) y de manejo agronómico homogéneo, los maíces recolectados se separaron en dos grupos climáticos para su siembra. El primer grupo estuvo constituido por maíces de clima subtropical y tropical. Estos maíces fueron sembrados a finales de mayo en el Campo Experimental “La Carreta” de la Universidad Autónoma Chapingo (1820 msnm). El segundo grupo estuvo constituido por maíces de clima de Transición y Tierras Altas y fueron sembrados a finales de mayo y a principios de junio en Zacapu (1950 msnm), Morelia (1900 msnm) y Erongarícuaro (2000 msnm), Mich. Las colectas de maíz y teocinte que se recolectaron en noviembre del 2007 y enero del 2008 fueron sembradas en febrero en Ziracuaretiro, Mich. (1200 msnm).
c84fe384b54df55c267449e135908fd0c05dbb68	Medida en centímetros desde el suelo hasta la base de la mazorca. La recolección de germoplasma de los maíces criollos se realizó usando una modificación a la metodología propuesta por Hernández (1972), considerando la experiencia vivida en la recolección de maíces criollos en el 2006. Se recolectaron 50 mazorcas para cada una de las muestras de maíz ó 5 kg de semilla con cinco de sus mazorcas ó sus respectivos olotes (los cuales a veces es difícil obtener). Para la toma de datos agronómicos, debido a que las muestras de maíz no presentan el mismo error de muestreo (al escoger las mazorcas para semilla por el agricultor por tener diferentes criterios de selección ó mazorcas por el recolector) y de manejo agronómico homogéneo, los maíces recolectados se separaron en dos grupos climáticos para su siembra. El primer grupo estuvo constituido por maíces de clima subtropical y tropical. Estos maíces fueron sembrados a finales de mayo en el Campo Experimental “La Carreta” de la Universidad Autónoma Chapingo (1820 msnm). El segundo grupo estuvo constituido por maíces de clima de Transición y Tierras Altas y fueron sembrados a finales de mayo y a principios de junio en Zacapu (1950 msnm), Morelia (1900 msnm) y Erongarícuaro (2000 msnm), Mich. Las colectas de maíz y teocinte que se recolectaron en noviembre del 2007 y enero del 2008 fueron sembradas en febrero en Ziracuaretiro, Mich. (1200 msnm).
bab527faa2d889cbf2cd479dac35a9c9916e3adf	Longitud de la base al ápice en la mazorca. La recolección de germoplasma de los maíces criollos se realizó usando una modificación a la metodología propuesta por Hernández (1972), considerando la experiencia vivida en la recolección de maíces criollos en el 2006. Se recolectaron 50 mazorcas para cada una de las muestras de maíz ó 5 kg de semilla con cinco de sus mazorcas ó sus respectivos olotes (los cuales a veces es difícil obtener). Para la toma de datos agronómicos, debido a que las muestras de maíz no presentan el mismo error de muestreo (al escoger las mazorcas para semilla por el agricultor por tener diferentes criterios de selección ó mazorcas por el recolector) y de manejo agronómico homogéneo, los maíces recolectados se separaron en dos grupos climáticos para su siembra. El primer grupo estuvo constituido por maíces de clima subtropical y tropical. Estos maíces fueron sembrados a finales de mayo en el Campo Experimental “La Carreta” de la Universidad Autónoma Chapingo (1820 msnm). El segundo grupo estuvo constituido por maíces de clima de Transición y Tierras Altas y fueron sembrados a finales de mayo y a principios de junio en Zacapu (1950 msnm), Morelia (1900 msnm) y Erongarícuaro (2000 msnm), Mich. Las colectas de maíz y teocinte que se recolectaron en noviembre del 2007 y enero del 2008 fueron sembradas en febrero en Ziracuaretiro, Mich. (1200 msnm).
8694bb8175bfd1c80343f0e7e2f6bd5fe0cd344d	Longitud de la base al ápice en la mazorca. En la gran mayoría de los casos se pudieron sustraer las 50 mazorcas de los “monos” o montones de plantas tiradas, según el protocolo estandarizado. En esos casos se cuidaba de utilizar diferentes montones y distribuidos en toda la tabla o parcela. Para la segunda etapa dado lo avanzado del ciclo algunas muestras ya fueron sustraídas de las trojes. En ese caso se hizo un esfuerzo conciente de que fuera una muestra aleatoria de toda la población, aun cuando los productores insistían en que se tomaran las más “bonitas”. En gabinete se procedió a la descripción cuantitativa y cualitativa de una submuestra de 20 mazorcas.
432908fe9af9de47c0d699faf91e7a0b4ef6b05d	Longitud de la base al ápice en la mazorca. En cada colecta se obtuvieron 50 mazorcas representativas de la diversidad genética de cada maíz nativo existente en la comunidad. Únicamente en seis de las colectas no se completaron las 50 mazorcas y estas variaron de 20 a 40 por muestra. Las colectas se realizaron durante los meses de enero a abril, por lo que debido a lo extemporáneo de la época de colecta de las muestras, estas se realizaron directamente de la troje, seleccionando las 50 mejores mazorcas de cada colecta. Las características cualitativas y cuantitativas de mazorca y grano, se midieron en gabinete. Para este caso se midieron 10 mazorcas y 10 semillas por mazorca. 
8b8da26fe48d3a9f0cf8b661901dc330b0806e7d	Longitud de la base al ápice en la mazorca. Se realizó la caracterización cualitativa y cuantitativa de los materiales, donde se le toman datos a diez mazorcas por colecta y se realizan los cálculos promedios.
9e17e716187625b836571685ef11c7b200e97496	Longitud de la base al ápice en la mazorca. La cantidad de colectas por sitio de muestreo se determinó de acuerdo a la diversidad del germoplasma sembrado: variación inter-racial, usos, tiempo de sembrado por el agricultor y a la variación en el ambiente en que se siembra. En cada colecta se obtuvieron de 20 a 50 mazorcas, y en algunos casos semilla, representativas de la diversidad genética de cada maíz nativo existente en la 23 comunidad. Cuando fue posible visitar los lotes de producción, se tomaron datos de planta considerados en la hoja de pasaporte. Las características cualitativas y cuantitativas de mazorca y grano, se midieron en gabinete.
b8f1b6bc207f94b86af01561a5c0690b1c18be20	Longitud de la base al ápice en la mazorca.
39876ce1dbf8971a5f6dbf438f30194f9aa48eaf	Longitud de la base al ápice en la mazorca. Se colectaron muestras en campo y en trojes, obteniendo 30 mazorcas por muestra o en su caso grano de maíz. Una vez obtenidas las muestras se procedió a determinar las características cualitativas y cuantitativas, para esto se se seleccionaron 10 mazorcas.
1413f2d5c9d948e37c8942537e949218445cfa2b	Longitud de la base al ápice en la mazorca.
